u,v,path_length,euclidean,tortuosity,weight
197,182,161.40916292848985,143.9340,1.1214,161.4092
0,175,5.242640687119285,5.0000,1.0485,5.2426
249,83,4.414213562373095,4.1231,1.0706,4.4142
249,107,2.414213562373095,2.2361,1.0797,2.4142
263,128,98.25483399593898,90.8240,1.0818,98.2548
145,126,14.485281374238571,13.4164,1.0797,14.4853
11,61,140.84062043356596,131.7004,1.0694,140.8406
268,274,85.49747468305827,74.9667,1.1405,85.4975
12,182,2.414213562373095,2.2361,1.0797,2.4142
13,98,60.727922061357845,57.4282,1.0575,60.7279
274,102,66.31370849898475,63.0000,1.0526,66.3137
14,136,50.76955262170045,47.7074,1.0642,50.7696
221,48,50.35533905932736,46.8722,1.0743,50.3553
16,91,45.18376618407356,43.1393,1.0474,45.1838
238,100,41.8700576850888,38.9487,1.0750,41.8701
238,246,49.97056274847712,44.5982,1.1205,49.9706
18,39,44.727922061357845,41.1096,1.0880,44.7279
21,189,53.870057685088774,49.7695,1.0824,53.8701
22,198,107.52691193458115,100.6628,1.0682,107.5269
23,25,47.89949493661166,45.0999,1.0621,47.8995
27,114,25.970562748477146,23.8537,1.0887,25.9706
29,96,143.63961030678925,127.2006,1.1292,143.6396
32,231,204.20815280171323,177.5894,1.1499,204.2082
134,85,56.840620433565924,53.0377,1.0717,56.8406
34,175,5.82842712474619,5.3852,1.0823,5.8284
269,109,68.76955262170043,63.0714,1.0903,68.7696
201,180,160.52691193458122,151.0033,1.0631,160.5269
201,203,3.82842712474619,3.6056,1.0618,3.8284
201,131,55.2132034355964,47.4342,1.1640,55.2132
203,196,137.22539674441617,125.1599,1.0964,137.2254
203,42,136.39696961966993,119.8541,1.1380,136.3970
228,95,21.55634918610405,20.2485,1.0646,21.5563
200,195,52.941125496954264,48.0104,1.1027,52.9411
41,142,280.43354954612994,252.0516,1.1126,280.4335
211,205,49.041630560342604,44.7772,1.0952,49.0416
211,210,14.899494936611667,13.8924,1.0725,14.8995
175,174,47.828427124746185,47.0425,1.0167,47.8284
279,92,82.76955262170046,74.8465,1.1059,82.7696
53,275,12.485281374238573,10.7703,1.1592,12.4853
54,174,85.28427124746187,77.0260,1.1072,85.2843
143,139,162.36753236814712,145.4991,1.1159,162.3675
143,144,154.32590180780457,136.6236,1.1296,154.3259
143,153,350.93607486307144,289.7999,1.2110,350.9361
57,273,221.9360748630715,202.5562,1.0957,221.9361
58,206,244.33809511662452,221.9392,1.1009,244.3381
62,294,56.48528137423856,54.1479,1.0432,56.4853
66,202,88.59797974644664,77.3886,1.1448,88.5980
68,73,92.49747468305827,81.4923,1.1350,92.4975
267,254,162.0538238691624,133.6451,1.2126,162.0538
74,272,260.7939392393404,228.4732,1.1415,260.7939
199,193,34.48528137423857,32.5576,1.0592,34.4853
136,76,120.98275605729684,109.3846,1.1060,120.9828
75,94,39.2842712474619,36.4005,1.0792,39.2843
233,133,184.7939392393401,168.9083,1.0940,184.7939
80,97,100.48528137423855,98.1835,1.0234,100.4853
90,152,195.71067811865512,166.0271,1.1788,195.7107
287,288,22.65685424949238,21.3776,1.0598,22.6569
240,225,118.68124086713178,110.4219,1.0748,118.6812
236,235,19.142135623730955,17.8045,1.0751,19.1421
181,117,205.14927829866764,189.0952,1.0849,205.1493
271,272,54.79898987322331,50.9608,1.0753,54.7990
168,167,8.65685424949238,8.0623,1.0738,8.6569
122,191,18.72792206135786,17.4929,1.0706,18.7279
130,235,11.071067811865477,10.2956,1.0753,11.0711
