u,v,path_length,euclidean,tortuosity,weight
199,203,33.041630560342625,30.4795,1.0841,33.0416
171,176,80.45584412271567,72.3671,1.1118,80.4558
213,77,23.48528137423857,21.3776,1.0986,23.4853
12,84,70.76955262170046,62.7694,1.1275,70.7696
119,107,149.208152801713,140.7587,1.0600,149.2082
102,91,324.0782104868025,266.0019,1.2183,324.0782
18,136,38.45584412271571,34.7131,1.1078,38.4558
91,89,2.414213562373095,2.2361,1.0797,2.4142
91,63,21.89949493661167,20.2485,1.0815,21.8995
187,185,33.798989873223334,28.2843,1.1950,33.7990
21,193,74.31370849898475,71.0000,1.0467,74.3137
24,200,222.35028842544432,179.2707,1.2403,222.3503
161,158,32.627416997969526,30.2324,1.0792,32.6274
195,184,191.96551211459405,172.8872,1.1104,191.9655
26,97,50.627416997969505,46.8188,1.0813,50.6274
175,173,58.284271247461874,44.9222,1.2975,58.2843
34,216,123.55634918610403,119.0378,1.0380,123.5563
208,216,229.1959594928936,204.0098,1.1235,229.1960
52,191,121.32590180780444,107.7079,1.1264,121.3259
151,44,82.52691193458118,71.4703,1.1547,82.5269
58,41,26.62741699796953,25.4951,1.0444,26.6274
59,76,55.01219330881973,50.2195,1.0954,55.0122
64,206,69.76955262170043,60.4401,1.1544,69.7696
163,78,377.3797256769674,343.7703,1.0978,377.3797
163,160,10.071067811865476,9.4340,1.0675,10.0711
75,216,2.414213562373095,2.2361,1.0797,2.4142
107,105,33.31370849898476,29.7321,1.1205,33.3137
5,136,42.97056274847713,39.2173,1.0957,42.9706
15,68,46.52691193458117,43.5660,1.0680,46.5269
133,67,137.22539674441614,123.6487,1.1098,137.2254
46,120,8.242640687119286,7.0711,1.1657,8.2426
126,120,141.71067811865473,127.0157,1.1157,141.7107
125,123,18.970562748477146,18.4391,1.0288,18.9706
164,81,13.071067811865477,12.0830,1.0818,13.0711
110,97,84.15432893255064,76.4003,1.1015,84.1543
110,120,238.20815280171362,214.2195,1.1120,238.2082
