u,v,path_length,euclidean,tortuosity,weight
135,32,93.97056274847712,88.4590,1.0623,93.9706
5,248,334.16147160748807,292.4876,1.1425,334.1615
6,181,145.85281374238562,133.2704,1.0944,145.8528
161,163,10.071067811865476,9.4340,1.0675,10.0711
10,36,138.66904755831212,128.3199,1.0807,138.6690
11,44,21.0,21.0000,1.0000,21.0000
157,58,110.91168824543135,101.8430,1.0890,110.9117
158,152,57.384776310850235,51.5461,1.1133,57.3848
171,168,10.242640687119286,9.4868,1.0797,10.2426
171,170,10.242640687119286,9.4868,1.0797,10.2426
171,79,199.62236636408642,176.7993,1.1291,199.6224
19,176,50.79898987322331,46.4866,1.0928,50.7990
243,265,152.35533905932743,144.1839,1.0567,152.3553
181,60,175.52186130069805,162.8005,1.0781,175.5219
24,92,51.76955262170045,48.5489,1.0663,51.7696
26,93,73.11269837220806,63.5610,1.1503,73.1127
30,17,157.59797974644673,146.1232,1.0785,157.5980
213,195,131.509667991878,119.9708,1.0962,131.5097
41,253,186.40916292848985,166.3550,1.1206,186.4092
134,46,179.85281374238582,157.8765,1.1392,179.8528
254,255,32.89949493661167,30.1496,1.0912,32.8995
167,166,88.28427124746187,80.3990,1.0981,88.2843
167,170,10.656854249492381,9.8489,1.0820,10.6569
52,62,51.48528137423857,49.0000,1.0507,51.4853
56,186,172.15432893255075,156.4385,1.1005,172.1543
57,150,397.14927829866815,365.4107,1.0869,397.1493
155,154,24.55634918610405,22.8254,1.0758,24.5563
209,64,192.06601717798242,170.2939,1.1279,192.0660
150,101,38.55634918610404,34.5398,1.1163,38.5563
150,55,5.242640687119286,5.0000,1.0485,5.2426
80,217,20.72792206135786,17.2627,1.2007,20.7279
205,202,24.213203435596434,23.4307,1.0334,24.2132
174,172,5.242640687119286,5.0000,1.0485,5.2426
90,27,65.76955262170046,57.8014,1.1379,65.7696
97,251,150.88225099390866,128.3160,1.1759,150.8823
98,8,28.798989873223338,26.9258,1.0696,28.7990
99,130,101.45584412271567,95.0368,1.0675,101.4558
223,233,111.2253967444161,87.3212,1.2737,111.2254
102,0,35.698484809835,34.2053,1.0437,35.6985
116,144,16.72792206135786,15.8114,1.0580,16.7279
2,3,46.04163056034261,42.5441,1.0822,46.0416
261,262,17.48528137423857,16.1555,1.0823,17.4853
20,68,42.55634918610404,39.0512,1.0898,42.5563
21,256,80.04163056034258,73.5527,1.0882,80.0416
33,208,82.42640687119281,68.0294,1.2116,82.4264
214,107,340.16147160748795,306.6350,1.1093,340.1615
39,72,34.24264068711929,33.1361,1.0334,34.2426
189,117,233.74011537017773,218.0734,1.0718,233.7401
124,59,134.15432893255067,120.7021,1.1114,134.1543
65,222,144.66904755831212,132.2195,1.0942,144.6690
66,115,80.04163056034257,74.2159,1.0785,80.0416
166,169,34.798989873223334,31.3847,1.1088,34.7990
169,170,51.071067811865476,49.0102,1.0420,51.0711
81,120,143.68124086713183,129.5299,1.1093,143.6812
131,103,148.81118318204312,130.9733,1.1362,148.8112
