u,v,path_length,euclidean,tortuosity,weight
4,130,13.071067811865477,12.0830,1.0818,13.0711
163,50,43.8700576850888,40.3113,1.0883,43.8701
197,188,114.35533905932733,104.1201,1.0983,114.3553
192,65,7.0710678118654755,7.0711,1.0000,7.0711
18,31,136.26702730475873,123.9758,1.0991,136.2670
22,102,43.94112549695427,41.2311,1.0657,43.9411
148,60,57.798989873223306,53.3667,1.0831,57.7990
109,133,496.83051916580075,456.8468,1.0875,496.8305
27,146,22.313708498984763,20.6155,1.0824,22.3137
32,196,55.87005768508877,51.6236,1.0823,55.8701
33,131,77.14213562373095,73.1095,1.0552,77.1421
113,86,67.76955262170046,60.5392,1.1194,67.7696
153,157,28.313708498984763,25.0799,1.1289,28.3137
169,58,3.414213562373095,3.1623,1.0797,3.4142
145,44,75.14213562373095,71.7008,1.0480,75.1421
52,54,32.041630560342625,29.7321,1.0777,32.0416
56,71,29.798989873223338,26.8328,1.1105,29.7990
144,137,37.14213562373095,33.0606,1.1235,37.1421
59,83,30.041630560342625,28.4253,1.0569,30.0416
62,183,176.95331880577413,141.6616,1.2491,176.9533
208,98,1.4142135623730951,1.4142,1.0000,1.4142
208,28,3.0,3.0000,1.0000,3.0000
66,143,2.414213562373095,2.2361,1.0797,2.4142
67,99,19.242640687119287,18.2483,1.0545,19.2426
179,176,73.4264068711928,66.3702,1.1063,73.4264
161,106,53.4558441227157,46.3249,1.1539,53.4558
75,193,81.6274169979695,75.1066,1.0868,81.6274
214,209,21.384776310850242,20.6155,1.0373,21.3848
80,220,18.142135623730955,17.0294,1.0653,18.1421
150,136,89.45584412271569,83.1865,1.0754,89.4558
85,177,273.166522241371,250.4097,1.0909,273.1665
122,25,63.669047558312094,59.9083,1.0628,63.6690
183,87,2.414213562373095,2.2361,1.0797,2.4142
91,37,300.1320343559652,279.5711,1.0735,300.1320
92,23,57.840620433565924,54.4059,1.0631,57.8406
138,132,153.1665222413705,139.2300,1.1001,153.1665
101,1,121.6396103067892,104.6231,1.1626,121.6396
129,143,177.95331880577402,154.6512,1.1507,177.9533
3,51,167.4802307403553,150.5722,1.1123,167.4802
5,94,88.62741699796949,82.7647,1.0708,88.6274
167,170,51.79898987322332,46.1736,1.1218,51.7990
135,136,26.82842712474619,26.0768,1.0288,26.8284
15,212,283.60512242138384,246.0285,1.1527,283.6051
17,79,35.2842712474619,33.3017,1.0595,35.2843
20,116,44.21320343559643,36.4005,1.2146,44.2132
35,100,208.39696961967024,188.4808,1.1057,208.3970
132,136,153.3380951166243,141.8238,1.0812,153.3381
47,103,96.22539674441612,85.1469,1.1301,96.2254
76,199,3.0,3.0000,1.0000,3.0000
125,120,87.32590180780447,79.7559,1.0949,87.3259
