u,v,path_length,euclidean,tortuosity,weight
11,310,45.04163056034261,41.1461,1.0947,45.0416
238,146,80.59797974644661,70.8308,1.1379,80.5980
15,358,63.84062043356591,58.6003,1.0894,63.8406
230,227,93.45584412271569,87.1321,1.0726,93.4558
215,216,8.242640687119286,7.6158,1.0823,8.2426
340,46,219.4213562373097,198.8064,1.1037,219.4214
357,359,11.071067811865477,10.2956,1.0753,11.0711
225,81,135.74011537017753,123.9758,1.0949,135.7401
165,79,265.4751801064725,249.2007,1.0653,265.4752
159,21,14.485281374238571,11.6619,1.2421,14.4853
56,298,93.12489168102776,87.2067,1.0679,93.1249
88,214,5.414213562373095,5.0990,1.0618,5.4142
89,71,28.313708498984766,25.7099,1.1013,28.3137
92,239,279.80613254816024,255.8202,1.0938,279.8061
233,104,205.53910524340097,174.7226,1.1764,205.5391
251,250,260.5096679918785,233.0021,1.1181,260.5097
234,210,195.93607486307116,178.4405,1.0980,195.9361
285,109,58.183766184073534,53.5350,1.0868,58.1838
152,209,19.142135623730955,18.0278,1.0618,19.1421
343,346,72.72792206135784,67.0820,1.0842,72.7279
206,202,28.213203435596434,26.1725,1.0780,28.2132
206,196,93.53910524340085,87.7268,1.0663,93.5391
206,235,257.30360723121873,243.2612,1.0577,257.3036
344,143,24.041630560342625,24.0416,1.0000,24.0416
362,74,64.01219330881972,58.0086,1.1035,64.0122
24,69,24.485281374238575,22.8035,1.0738,24.4853
204,219,126.36753236814702,112.0446,1.1278,126.3675
173,112,135.29646455628165,117.2774,1.1536,135.2965
38,101,16.485281374238575,14.7648,1.1165,16.4853
53,52,24.798989873223338,23.3452,1.0623,24.7990
168,107,58.52691193458117,53.6656,1.0906,58.5269
73,358,66.18376618407353,60.4152,1.0955,66.1838
205,136,161.88225099390854,132.4387,1.2223,161.8823
324,23,73.18376618407353,66.1891,1.1057,73.1838
94,264,222.43860018001277,196.2371,1.1335,222.4386
97,290,148.23759005323598,134.1827,1.1047,148.2376
98,246,48.11269837220809,43.1856,1.1141,48.1127
316,48,90.28427124746187,82.0975,1.0997,90.2843
115,229,57.59797974644664,52.3259,1.1008,57.5980
222,37,30.48528137423857,28.0000,1.0888,30.4853
283,288,67.35533905932733,59.4643,1.1327,67.3553
149,286,15.242640687119287,14.3178,1.0646,15.2426
2,288,321.3797256769675,285.4400,1.1259,321.3797
10,27,37.31370849898475,33.7343,1.1061,37.3137
286,84,60.2132034355964,55.3624,1.0876,60.2132
286,298,160.43860018001263,140.0893,1.1453,160.4386
332,328,52.52691193458117,48.7647,1.0771,52.5269
49,337,15.313708498984765,14.4222,1.0618,15.3137
51,310,38.55634918610404,34.0147,1.1335,38.5563
67,199,106.29646455628158,95.4830,1.1133,106.2965
295,304,27.798989873223338,25.4951,1.0904,27.7990
310,95,85.84062043356592,77.8203,1.1031,85.8406
103,356,156.76450198781717,150.6154,1.0408,156.7645
126,277,92.28427124746187,84.3445,1.0941,92.2843
135,142,42.11269837220809,38.8973,1.0827,42.1127
141,177,95.28427124746186,87.3670,1.0906,95.2843
253,252,20.142135623730955,18.8680,1.0675,20.1421
108,125,36.2842712474619,33.9706,1.0681,36.2843
