u,v,path_length,euclidean,tortuosity,weight
16,246,51.556349186104036,47.5395,1.0845,51.5563
17,134,114.3969696196699,102.1812,1.1195,114.3970
194,8,110.53910524340085,101.0198,1.0942,110.5391
19,89,103.2132034355964,97.2522,1.0613,103.2132
20,76,65.76955262170043,59.1692,1.1115,65.7696
21,128,53.38477631085023,49.7293,1.0735,53.3848
26,139,51.01219330881974,48.1041,1.0605,51.0122
28,168,113.8406204335659,105.0809,1.0834,113.8406
29,71,55.87005768508879,47.5079,1.1760,55.8701
31,122,53.48528137423856,51.0000,1.0487,53.4853
34,230,17.142135623730955,16.4012,1.0452,17.1421
38,73,74.28427124746187,66.4831,1.1173,74.2843
47,257,1.4142135623730951,1.4142,1.0000,1.4142
199,111,24.798989873223338,22.4722,1.1035,24.7990
58,276,6.65685424949238,6.4031,1.0396,6.6569
182,184,23.142135623730955,21.4709,1.0778,23.1421
81,50,32.213203435596434,29.0000,1.1108,32.2132
82,286,82.94112549695423,76.8440,1.0793,82.9411
96,265,124.19595949289321,111.2879,1.1160,124.1960
124,101,161.19595949289334,148.9295,1.0824,161.1960
127,250,72.28427124746189,62.6099,1.1545,72.2843
229,143,91.45584412271569,84.2140,1.0860,91.4558
229,54,21.07106781186548,19.6469,1.0725,21.0711
229,123,1.4142135623730951,1.4142,1.0000,1.4142
138,44,77.8700576850888,64.8460,1.2008,77.8701
148,259,134.16652224137033,123.0447,1.0904,134.1665
159,253,89.63961030678921,82.1340,1.0914,89.6396
292,284,126.53910524340085,115.8836,1.0920,126.5391
6,104,39.071067811865476,36.4966,1.0705,39.0711
14,36,77.59797974644663,71.1758,1.0902,77.5980
15,222,185.0538238691625,167.1945,1.1068,185.0538
269,275,67.28427124746189,61.0328,1.1024,67.2843
23,240,19.142135623730955,17.0000,1.1260,19.1421
55,0,57.142135623730944,53.0377,1.0774,57.1421
64,296,3.414213562373095,3.1623,1.0797,3.4142
254,80,54.14213562373095,50.9902,1.0618,54.1421
254,118,2.414213562373095,2.2361,1.0797,2.4142
254,110,64.87005768508878,58.4637,1.1096,64.8701
289,288,52.28427124746188,47.8539,1.0926,52.2843
106,259,138.7106781186547,122.8007,1.1296,138.7107
107,288,132.50966799187802,121.4002,1.0915,132.5097
109,232,59.35533905932735,52.8015,1.1241,59.3553
272,276,55.31370849898476,52.6118,1.0514,55.3137
146,300,71.32590180780447,65.9469,1.0816,71.3259
160,298,163.45079348883237,152.2268,1.0737,163.4508
291,119,34.627416997969526,31.2410,1.1084,34.6274
302,304,23.313708498984763,20.8806,1.1165,23.3137
33,257,50.65685424949238,49.1630,1.0304,50.6569
165,158,63.25483399593901,58.8218,1.0754,63.2548
45,66,60.94112549695424,52.3927,1.1632,60.9411
49,195,77.69848480983497,71.4703,1.0871,77.6985
62,43,89.15432893255065,66.0303,1.3502,89.1543
276,145,7.656854249492381,7.2111,1.0618,7.6569
74,211,134.8528137423856,122.4500,1.1013,134.8528
77,247,98.76955262170041,88.2950,1.1186,98.7696
296,3,2.414213562373095,2.2361,1.0797,2.4142
100,22,83.62741699796952,76.7919,1.0890,83.6274
105,27,46.48528137423857,42.4264,1.0957,46.4853
108,187,139.91168824543138,122.5602,1.1416,139.9117
183,141,52.556349186104036,47.0000,1.1182,52.5563
132,4,73.45584412271567,65.0077,1.1300,73.4558
13,125,19.071067811865476,17.2627,1.1048,19.0711
35,283,57.89949493661165,55.0091,1.0525,57.8995
