u,v,path_length,euclidean,tortuosity,weight
76,90,337.9898987322341,302.3442,1.1179,337.9899
114,48,39.48528137423857,37.2156,1.0610,39.4853
114,116,138.04163056034264,132.0984,1.0450,138.0416
114,11,1.4142135623730951,1.4142,1.0000,1.4142
92,41,291.2253967444165,273.7243,1.0639,291.2254
92,59,131.58073580374344,121.6306,1.0818,131.5807
92,99,144.58073580374347,133.6001,1.0822,144.5807
73,71,56.69848480983498,51.4296,1.1024,56.6985
1,33,78.0121933088197,71.5891,1.0897,78.0122
66,51,69.8406204335659,63.0079,1.1084,69.8406
66,71,304.22034611053346,274.6507,1.1077,304.2203
2,10,315.22539674441646,296.3798,1.0636,315.2254
8,145,162.5512985522207,148.9497,1.0913,162.5513
13,98,176.52691193458128,167.2423,1.0555,176.5269
87,25,1.4142135623730951,1.4142,1.0000,1.4142
87,88,146.840620433566,137.5391,1.0676,146.8406
16,120,55.35533905932735,51.4782,1.0753,55.3553
116,118,63.72792206135783,60.6712,1.0504,63.7279
116,58,116.02438661763941,106.5270,1.0892,116.0244
24,102,4.82842712474619,4.4721,1.0797,4.8284
102,19,1.4142135623730951,1.4142,1.0000,1.4142
129,132,18.313708498984763,16.6433,1.1004,18.3137
105,104,42.55634918610404,34.8855,1.2199,42.5563
82,78,27.041630560342625,26.2488,1.0302,27.0416
30,139,193.45079348883257,178.5301,1.0836,193.4508
31,34,57.21320343559641,53.1601,1.0762,57.2132
35,79,465.0142853498744,414.8891,1.1208,465.0143
38,71,57.798989873223334,53.1601,1.0873,57.7990
40,100,276.93607486307144,253.6927,1.0916,276.9361
93,7,233.2375900532363,212.5088,1.0975,233.2376
112,52,64.66904755831212,60.2163,1.0739,64.6690
88,27,270.96551211459405,228.8952,1.1838,270.9655
88,14,52.213203435596405,46.8722,1.1139,52.2132
121,12,305.12489168102815,284.3959,1.0729,305.1249
81,63,138.254833995939,129.0310,1.0715,138.2548
113,115,39.2842712474619,36.8917,1.0649,39.2843
18,146,86.14213562373092,82.6075,1.0428,86.1421
26,39,32.41421356237309,32.0156,1.0124,32.4142
28,60,71.98275605729684,68.0147,1.0583,71.9828
145,143,60.426406871192825,55.1725,1.0952,60.4264
83,37,50.69848480983498,46.9574,1.0797,50.6985
77,78,8.82842712474619,8.2462,1.0706,8.8284
50,57,24.72792206135786,22.8473,1.0823,24.7279
94,46,437.30865786510196,359.7068,1.2157,437.3087
142,62,131.32590180780448,121.7580,1.0786,131.3259
