u,v,path_length,euclidean,tortuosity,weight
3,123,73.39696961966995,69.8140,1.0513,73.3970
8,59,90.55634918610403,86.4696,1.0473,90.5563
179,177,25.242640687119287,24.0208,1.0509,25.2426
181,168,142.953318805774,123.9758,1.1531,142.9533
12,104,175.71067811865476,162.2252,1.0831,175.7107
13,102,177.20815280171323,161.0745,1.1002,177.2082
17,88,35.21320343559643,32.6497,1.0785,35.2132
143,142,3.82842712474619,3.6056,1.0618,3.8284
143,55,137.74011537017765,118.1524,1.1658,137.7401
106,111,23.798989873223338,22.6716,1.0497,23.7990
116,118,81.39696961966993,76.2758,1.0671,81.3970
196,186,137.99494936611657,128.2225,1.0762,137.9949
196,72,156.55634918610406,152.2662,1.0282,156.5563
196,29,65.97056274847712,61.2944,1.0763,65.9706
80,18,11.071067811865477,10.2956,1.0753,11.0711
197,199,99.87005768508877,93.9415,1.0631,99.8701
32,84,12.242640687119287,11.0454,1.1084,12.2426
33,38,76.66904755831209,70.3278,1.0902,76.6690
35,71,97.25483399593898,89.8888,1.0819,97.2548
180,175,151.6396103067893,140.4066,1.0800,151.6396
37,152,30.041630560342625,28.6007,1.0504,30.0416
119,121,4.242640687119286,4.2426,1.0000,4.2426
41,30,112.1837661840735,102.4890,1.0946,112.1838
109,19,317.12489168102826,296.8451,1.0683,317.1249
91,89,21.242640687119287,20.0250,1.0608,21.2426
42,46,109.01219330881969,98.9545,1.1016,109.0122
182,160,183.4974746830585,169.0739,1.0853,183.4975
201,78,99.05382386916229,89.2749,1.1095,99.0538
200,23,77.59797974644661,67.4240,1.1509,77.5980
81,68,109.63961030678921,98.8838,1.1088,109.6396
70,177,1.4142135623730951,1.4142,1.0000,1.4142
76,45,72.52691193458115,63.9531,1.1341,72.5269
194,166,249.06601717798225,221.1990,1.1260,249.0660
156,154,28.313708498984763,26.2488,1.0787,28.3137
185,22,134.6101730552663,117.1836,1.1487,134.6102
10,95,105.49747468305824,89.6437,1.1769,105.4975
129,130,8.65685424949238,8.0623,1.0738,8.6569
49,122,42.55634918610404,37.6962,1.1289,42.5563
