u,v,path_length,euclidean,tortuosity,weight
0,41,55.59797974644664,51.2250,1.0854,55.5980
128,18,104.08326112068517,92.1954,1.1289,104.0833
170,3,343.9949493661172,318.6989,1.0794,343.9949
188,66,46.69848480983499,42.4382,1.1004,46.6985
5,38,37.76955262170048,37.4833,1.0076,37.7696
124,65,292.73506473629493,232.0776,1.2614,292.7351
130,135,40.04163056034261,37.1214,1.0787,40.0416
14,117,51.69848480983499,44.9444,1.1503,51.6985
174,89,14.899494936611667,13.8924,1.0725,14.8995
30,123,152.95331880577402,129.3754,1.1822,152.9533
35,93,307.63455967290645,280.0161,1.0986,307.6346
101,51,62.526911934581165,57.0088,1.0968,62.5269
40,60,38.72792206135785,36.1386,1.0716,38.7279
213,214,165.0243866176396,151.3968,1.0900,165.0244
184,61,64.2842712474619,58.1893,1.1047,64.2843
78,62,96.66904755831209,84.0595,1.1500,96.6690
84,105,36.627416997969526,33.6155,1.0896,36.6274
90,148,37.55634918610404,34.2053,1.0980,37.5563
97,56,31.142135623730955,28.2312,1.1031,31.1421
166,87,113.18376618407353,103.0970,1.0978,113.1838
8,37,207.81118318204324,190.2130,1.0925,207.8112
16,68,43.21320343559643,36.8782,1.1718,43.2132
32,53,309.5756851698611,277.1083,1.1172,309.5757
42,189,26.071067811865476,24.1868,1.0779,26.0711
46,134,293.17871555019076,244.6589,1.1983,293.1787
189,52,1.4142135623730951,1.4142,1.0000,1.4142
70,133,40.55634918610404,37.6431,1.0774,40.5563
104,95,76.97056274847712,72.4431,1.0625,76.9706
115,107,94.71067811865467,89.0505,1.0636,94.7107
