u,v,path_length,euclidean,tortuosity,weight
0,129,30.07106781186548,28.4429,1.0572,30.0711
1,119,198.22539674441626,181.3339,1.0932,198.2254
109,108,13.414213562373096,13.0384,1.0288,13.4142
170,154,208.37972567696735,189.7077,1.0984,208.3797
95,91,175.13708498984775,160.9099,1.0884,175.1371
95,93,220.56854249492406,207.8846,1.0610,220.5685
95,98,48.21320343559641,42.9535,1.1225,48.2132
13,79,241.3969696196701,224.0803,1.0773,241.3970
19,3,48.242640687119284,47.0956,1.0244,48.2426
27,188,93.08326112068518,84.0773,1.1071,93.0833
28,31,36.52691193458119,33.9706,1.0753,36.5269
155,77,181.237590053236,164.7301,1.1002,181.2376
32,100,143.01219330881975,134.1715,1.0659,143.0122
186,182,196.8111831820433,184.0924,1.0691,196.8112
186,69,138.7939392393399,133.0038,1.0435,138.7939
36,98,22.142135623730955,20.2485,1.0935,22.1421
38,160,61.89949493661166,59.2115,1.0454,61.8995
111,107,216.78174593052034,193.0414,1.1230,216.7817
42,53,42.94112549695427,40.4599,1.0613,42.9411
102,97,103.81118318204301,93.1933,1.1139,103.8112
50,80,29.45584412271572,28.2843,1.0414,29.4558
172,64,160.79393923934003,150.2065,1.0705,160.7939
92,56,31.48528137423857,29.6142,1.0632,31.4853
96,54,75.18376618407352,66.0984,1.1375,75.1838
132,75,67.8406204335659,62.7694,1.0808,67.8406
133,130,58.698484809834994,53.4883,1.0974,58.6985
188,183,186.48023074035538,169.6850,1.0990,186.4802
188,187,128.35533905932732,119.8541,1.0709,128.3553
60,187,84.52691193458115,78.4474,1.0775,84.5269
61,16,96.3969696196699,85.0000,1.1341,96.3970
63,45,66.97056274847712,63.1506,1.0605,66.9706
74,173,29.313708498984766,27.2029,1.0776,29.3137
151,70,158.08326112068528,145.1689,1.0890,158.0833
142,41,170.61017305526642,150.7116,1.1320,170.6102
179,180,22.414213562373096,22.0227,1.0178,22.4142
4,48,26.45584412271572,26.1725,1.0108,26.4558
9,124,200.16652224137079,183.0956,1.0932,200.1665
14,137,11.071067811865477,9.4868,1.1670,11.0711
15,30,29.213203435596434,27.4591,1.0639,29.2132
17,23,19.970562748477146,19.2094,1.0396,19.9706
24,120,77.14213562373094,73.1095,1.0552,77.1421
167,78,38.31370849898476,35.0000,1.0947,38.3137
158,68,236.43860018001277,216.0856,1.0942,236.4386
49,124,38.48528137423856,36.2215,1.0625,38.4853
62,82,152.26702730475878,139.0899,1.0947,152.2670
94,67,36.62741699796953,34.0000,1.0773,36.6274
