id,y,x,type
0,1244.0,197.0,endpoint
1,570.0,402.0,endpoint
2,412.0,1405.0,endpoint
3,183.0,1219.0,endpoint
4,622.0,1126.0,endpoint
5,1067.0,557.0,endpoint
6,1402.0,398.0,endpoint
7,16.0,632.0,endpoint
8,432.0,302.0,endpoint
9,1281.0,236.0,endpoint
10,1041.0,748.0,endpoint
11,1074.0,1410.0,endpoint
12,450.0,1174.0,endpoint
13,753.0,772.0,endpoint
14,64.0,473.0,endpoint
15,650.0,1476.0,endpoint
16,599.0,378.0,endpoint
17,704.0,1111.0,endpoint
18,684.0,1087.0,endpoint
19,556.0,1167.0,endpoint
20,813.0,325.0,endpoint
21,1187.0,1298.0,endpoint
22,1021.0,73.0,endpoint
23,179.0,1216.0,endpoint
24,622.0,28.0,endpoint
25,811.0,1422.0,endpoint
26,903.0,138.0,endpoint
27,1073.0,241.0,endpoint
28,778.0,991.0,endpoint
29,390.0,681.0,endpoint
30,343.0,133.0,endpoint
31,574.0,584.0,endpoint
32,737.0,163.0,endpoint
33,819.0,434.0,endpoint
34,1066.0,1412.0,endpoint
35,1228.0,437.0,endpoint
36,1442.0,488.0,endpoint
37,911.0,599.0,endpoint
38,1082.0,1094.0,endpoint
39,1172.0,1350.0,endpoint
40,889.0,964.0,endpoint
41,604.0,639.0,endpoint
42,1130.0,596.0,endpoint
43,701.0,437.0,endpoint
44,727.0,294.0,endpoint
45,212.0,1105.0,endpoint
46,959.0,515.0,endpoint
47,532.0,936.0,endpoint
48,580.0,476.0,endpoint
49,851.0,765.0,endpoint
50,901.0,195.0,endpoint
51,417.0,701.0,endpoint
52,143.0,580.0,endpoint
53,792.0,434.0,endpoint
54,1438.0,1009.0,endpoint
55,697.0,874.0,endpoint
56,319.0,748.0,endpoint
57,684.0,1264.0,endpoint
58,1246.0,204.0,endpoint
59,1424.0,903.0,endpoint
60,1030.0,900.0,endpoint
61,408.0,1402.0,endpoint
62,898.0,1147.0,endpoint
63,777.0,674.0,endpoint
64,1453.0,957.0,endpoint
65,1466.0,564.0,endpoint
66,508.0,1443.0,endpoint
67,765.0,25.0,endpoint
68,390.0,1085.0,endpoint
69,1462.0,560.0,endpoint
70,580.0,965.0,endpoint
71,642.0,238.0,endpoint
72,14.0,843.0,endpoint
73,786.0,813.0,endpoint
74,1051.0,458.0,endpoint
75,1168.0,1354.0,endpoint
76,906.0,161.0,endpoint
77,792.0,1469.0,endpoint
78,1164.0,813.0,endpoint
79,661.0,1339.0,endpoint
80,918.0,1053.0,endpoint
81,724.0,1416.0,endpoint
82,334.0,1322.0,endpoint
83,437.0,715.0,endpoint
84,947.0,1448.0,endpoint
85,1312.0,1213.0,endpoint
86,147.0,597.0,junction
87,148.0,579.0,junction
88,148.0,606.0,junction
89,158.0,704.0,junction
90,183.0,1217.0,junction
91,188.0,1217.0,junction
92,212.0,464.0,junction
93,270.0,722.0,junction
94,309.0,756.0,junction
95,354.0,1166.0,junction
96,382.0,956.0,junction
97,412.0,1403.0,junction
98,449.0,1168.0,junction
99,449.0,719.0,junction
100,462.0,940.0,junction
101,478.0,1003.0,junction
102,480.0,990.0,junction
103,502.0,566.0,junction
104,509.0,1443.0,junction
105,514.0,1433.0,junction
106,521.0,522.0,junction
107,521.0,533.0,junction
108,536.0,1043.0,junction
109,555.0,589.0,junction
110,557.0,1162.0,junction
111,569.0,631.0,junction
112,576.0,475.0,junction
113,580.0,963.0,junction
114,582.0,407.0,junction
115,585.0,963.0,junction
116,592.0,1169.0,junction
117,596.0,1260.0,junction
118,612.0,1223.0,junction
119,620.0,711.0,junction
120,621.0,1095.0,junction
121,638.0,1314.0,junction
122,661.0,449.0,junction
123,668.0,1179.0,junction
124,680.0,1114.0,junction
125,682.0,1163.0,junction
126,684.0,1137.0,junction
127,686.0,1132.0,junction
128,704.0,1103.0,junction
129,724.0,1132.0,junction
130,740.0,1096.0,junction
131,741.0,1126.0,junction
132,743.0,171.0,junction
133,746.0,1290.0,junction
134,763.0,1126.0,junction
135,777.0,1396.0,junction
136,792.0,1164.0,junction
137,794.0,1076.0,junction
138,796.0,1109.0,junction
139,802.0,1077.0,junction
140,804.0,153.0,junction
141,809.0,134.0,junction
142,812.0,153.0,junction
143,815.0,822.0,junction
144,818.0,438.0,junction
145,818.0,150.0,junction
146,842.0,1206.0,junction
147,846.0,1133.0,junction
148,854.0,967.0,junction
149,859.0,1040.0,junction
150,862.0,981.0,junction
151,879.0,1039.0,junction
152,893.0,207.0,junction
153,906.0,1038.0,junction
154,907.0,434.0,junction
155,951.0,990.0,junction
156,964.0,1009.0,junction
157,977.0,993.0,junction
158,982.0,1214.0,junction
159,985.0,637.0,junction
160,989.0,637.0,junction
161,998.0,1198.0,junction
162,1013.0,978.0,junction
163,1017.0,461.0,junction
164,1021.0,1199.0,junction
165,1042.0,346.0,junction
166,1047.0,905.0,junction
167,1050.0,462.0,junction
168,1058.0,923.0,junction
169,1067.0,1410.0,junction
170,1068.0,460.0,junction
171,1094.0,196.0,junction
172,1101.0,748.0,junction
173,1101.0,919.0,junction
174,1139.0,789.0,junction
175,1169.0,1349.0,junction
176,1201.0,902.0,junction
177,1219.0,483.0,junction
178,1221.0,438.0,junction
179,1224.0,347.0,junction
180,1223.0,494.0,junction
181,1231.0,644.0,junction
182,1235.0,329.0,junction
183,1235.0,687.0,junction
184,1243.0,202.0,junction
185,1343.0,530.0,junction
186,1351.0,602.0,junction
187,1351.0,589.0,junction
188,1356.0,613.0,junction
189,1420.0,1004.0,junction
190,1462.0,563.0,junction
