u,v,path_length,euclidean,tortuosity,weight
319,311,40.798989873223334,37.0000,1.1027,40.7990
319,316,22.313708498984763,20.1246,1.1088,22.3137
230,236,45.142135623730944,42.2019,1.0697,45.1421
160,180,261.69343417595195,224.9644,1.1633,261.6934
315,316,35.31370849898477,32.9848,1.0706,35.3137
11,137,43.48528137423857,41.1947,1.0556,43.4853
16,324,212.22539674441634,192.8989,1.1002,212.2254
20,198,315.308657865102,291.2954,1.0824,315.3087
247,223,91.76955262170044,77.1038,1.1902,91.7696
265,79,35.071067811865476,33.3766,1.0508,35.0711
195,28,26.899494936611667,25.0000,1.0760,26.8995
37,84,249.86500705120605,230.0826,1.0860,249.8650
47,253,7.0710678118654755,7.0711,1.0000,7.0711
266,10,34.38477631085024,30.2324,1.1373,34.3848
266,92,2.414213562373095,2.2361,1.0797,2.4142
237,232,34.55634918610404,31.9531,1.0815,34.5563
52,87,37.31370849898477,34.5254,1.0808,37.3137
55,331,17.071067811865476,15.8114,1.0797,17.0711
57,130,88.2132034355964,81.3941,1.0838,88.2132
58,326,2.414213562373095,2.2361,1.0797,2.4142
62,268,61.76955262170044,57.2451,1.0790,61.7696
196,203,54.284271247461895,50.1597,1.0822,54.2843
181,171,70.55634918610403,66.9104,1.0545,70.5563
66,248,41.65685424949238,40.1995,1.0363,41.6569
68,218,176.88225099390854,158.2688,1.1176,176.8823
329,333,53.355339059327356,48.6004,1.0978,53.3553
256,255,3.82842712474619,3.6056,1.0618,3.8284
80,282,117.11269837220804,108.9036,1.0754,117.1127
335,104,111.11269837220806,102.4207,1.0849,111.1127
152,174,150.284271247462,142.2252,1.0567,150.2843
95,64,135.56854249492375,118.1059,1.1479,135.5685
98,1,43.55634918610406,39.8497,1.0930,43.5563
243,118,62.62741699796949,56.8859,1.1009,62.6274
103,27,29.213203435596434,27.4591,1.0639,29.2132
124,211,135.26702730475873,124.0363,1.0905,135.2670
233,219,40.72792206135786,37.3363,1.0908,40.7279
200,121,161.05382386916241,146.8400,1.0968,161.0538
299,40,94.0832611206852,84.9706,1.1072,94.0833
6,146,82.15432893255067,76.6616,1.0716,82.1543
172,125,4.82842712474619,4.4721,1.0797,4.8284
13,36,25.89949493661167,23.0217,1.1250,25.8995
326,336,123.08326112068515,111.6647,1.1023,123.0833
211,217,17.313708498984763,15.6205,1.1084,17.3137
281,26,1.4142135623730951,1.4142,1.0000,1.4142
281,283,18.071067811865476,16.7631,1.0780,18.0711
29,178,36.2842712474619,34.2053,1.0608,36.2843
33,304,15.727922061357859,15.0000,1.0485,15.7279
199,207,61.66904755831211,57.3149,1.0760,61.6690
240,110,235.02438661763972,217.4419,1.0809,235.0244
169,131,255.02438661763972,233.9765,1.0900,255.0244
93,220,21.89949493661167,20.2485,1.0815,21.8995
94,219,3.414213562373095,3.1623,1.0797,3.4142
261,257,31.414213562373096,31.0161,1.0128,31.4142
229,71,40.38477631085024,35.7771,1.1288,40.3848
129,241,27.82842712474619,27.0740,1.0279,27.8284
334,332,97.38477631085023,92.9139,1.0481,97.3848
8,76,268.4213562373102,231.7952,1.1580,268.4214
9,70,33.82842712474619,33.0000,1.0251,33.8284
306,310,102.4680374315354,94.3398,1.0862,102.4680
35,168,272.59292911256375,240.1041,1.1353,272.5929
280,135,102.22539674441612,94.4140,1.0827,102.2254
221,217,40.21320343559643,35.1710,1.1434,40.2132
59,282,1.4142135623730951,1.4142,1.0000,1.4142
60,203,4.414213562373095,4.1231,1.0706,4.4142
257,96,231.5807358037439,204.0245,1.1351,231.5807
257,252,40.698484809834994,37.8021,1.0766,40.6985
245,115,11.65685424949238,10.7703,1.0823,11.6569
239,234,20.313708498984763,17.8045,1.1409,20.3137
251,113,58.97056274847713,55.3173,1.0660,58.9706
106,149,185.48023074035538,166.4332,1.1144,185.4802
145,141,88.15432893255065,79.2023,1.1130,88.1543
154,153,38.38477631085023,35.4683,1.0822,38.3848
214,226,47.941125496954264,44.4072,1.0796,47.9411
150,153,100.91168824543135,89.5545,1.1268,100.9117
292,297,23.213203435596434,22.6716,1.0239,23.2132
