id,y,x,type
0,247.0,200.0,endpoint
1,439.0,907.0,endpoint
2,467.0,157.0,endpoint
3,524.0,819.0,endpoint
4,315.0,944.0,endpoint
5,737.0,481.0,endpoint
6,1125.0,1316.0,endpoint
7,1167.0,367.0,endpoint
8,664.0,1482.0,endpoint
9,622.0,625.0,endpoint
10,752.0,1195.0,endpoint
11,173.0,652.0,endpoint
12,1090.0,223.0,endpoint
13,341.0,236.0,endpoint
14,1022.0,381.0,endpoint
15,672.0,546.0,endpoint
16,278.0,1293.0,endpoint
17,203.0,241.0,endpoint
18,780.0,356.0,endpoint
19,865.0,1474.0,endpoint
20,344.0,1375.0,endpoint
21,26.0,928.0,endpoint
22,937.0,300.0,endpoint
23,1050.0,1281.0,endpoint
24,722.0,1434.0,endpoint
25,112.0,1126.0,endpoint
26,1098.0,1404.0,endpoint
27,900.0,720.0,endpoint
28,312.0,1343.0,endpoint
29,777.0,250.0,endpoint
30,476.0,713.0,endpoint
31,573.0,398.0,endpoint
32,742.0,539.0,endpoint
33,570.0,1458.0,endpoint
34,713.0,622.0,endpoint
35,402.0,452.0,endpoint
36,1252.0,241.0,endpoint
37,1030.0,350.0,endpoint
38,757.0,417.0,endpoint
39,506.0,1366.0,endpoint
40,791.0,797.0,endpoint
41,279.0,1223.0,endpoint
42,815.0,89.0,endpoint
43,971.0,602.0,endpoint
44,131.0,1162.0,endpoint
45,317.0,331.0,endpoint
46,639.0,19.0,endpoint
47,1281.0,1118.0,endpoint
48,771.0,714.0,endpoint
49,787.0,338.0,endpoint
50,188.0,961.0,endpoint
51,882.0,563.0,endpoint
52,806.0,452.0,endpoint
53,1213.0,974.0,endpoint
54,307.0,375.0,endpoint
55,408.0,790.0,endpoint
56,913.0,889.0,endpoint
57,735.0,666.0,endpoint
58,826.0,1141.0,endpoint
59,189.0,730.0,endpoint
60,1065.0,1032.0,endpoint
61,402.0,95.0,endpoint
62,678.0,426.0,endpoint
63,541.0,329.0,endpoint
64,807.0,1193.0,endpoint
65,464.0,64.0,endpoint
66,816.0,213.0,endpoint
67,959.0,906.0,endpoint
68,323.0,698.0,endpoint
69,745.0,235.0,endpoint
70,345.0,555.0,endpoint
71,890.0,608.0,endpoint
72,1478.0,888.0,endpoint
73,525.0,705.0,endpoint
74,396.0,258.0,endpoint
75,707.0,98.0,endpoint
76,836.0,81.0,endpoint
77,960.0,199.0,endpoint
78,827.0,1082.0,endpoint
79,829.0,1317.0,endpoint
80,509.0,937.0,endpoint
81,1487.0,829.0,endpoint
82,858.0,1035.0,endpoint
83,30.0,636.0,endpoint
84,768.0,980.0,endpoint
85,733.0,967.0,endpoint
86,1328.0,274.0,endpoint
87,55.0,540.0,endpoint
88,429.0,867.0,endpoint
89,1063.0,876.0,endpoint
90,1494.0,724.0,endpoint
91,1095.0,1310.0,endpoint
92,1127.0,1388.0,endpoint
93,1178.0,1064.0,endpoint
94,571.0,331.0,endpoint
95,781.0,1471.0,endpoint
96,1243.0,1099.0,endpoint
97,1068.0,710.0,endpoint
98,710.0,709.0,endpoint
99,827.0,385.0,endpoint
100,1017.0,1247.0,endpoint
101,1344.0,986.0,endpoint
102,706.0,751.0,endpoint
103,967.0,944.0,endpoint
104,886.0,388.0,endpoint
105,774.0,156.0,endpoint
106,934.0,831.0,endpoint
107,697.0,1486.0,endpoint
108,611.0,641.0,endpoint
109,1102.0,888.0,endpoint
110,1027.0,1395.0,endpoint
111,1333.0,281.0,endpoint
112,62.0,1039.0,endpoint
113,918.0,713.0,endpoint
114,1105.0,441.0,endpoint
115,555.0,1048.0,endpoint
116,1369.0,1088.0,endpoint
117,692.0,388.0,endpoint
118,664.0,863.0,endpoint
119,1249.0,1300.0,endpoint
120,1220.0,727.0,endpoint
121,1121.0,1114.0,endpoint
122,417.0,168.0,endpoint
123,803.0,731.0,endpoint
124,877.0,781.0,endpoint
