id,y,x,type
0,787.0,766.0,endpoint
1,1278.0,327.0,endpoint
2,633.0,982.0,endpoint
3,1173.0,438.0,endpoint
4,6.0,731.0,endpoint
5,666.0,1006.0,endpoint
6,604.0,848.0,endpoint
7,1033.0,61.0,endpoint
8,1281.0,227.0,endpoint
9,668.0,567.0,endpoint
10,657.0,475.0,endpoint
11,810.0,1282.0,endpoint
12,939.0,1014.0,endpoint
13,297.0,162.0,endpoint
14,1465.0,724.0,endpoint
15,801.0,1373.0,endpoint
16,1167.0,463.0,endpoint
17,692.0,819.0,endpoint
18,467.0,1048.0,endpoint
19,1128.0,867.0,endpoint
20,459.0,1419.0,endpoint
21,529.0,751.0,endpoint
22,927.0,834.0,endpoint
23,1037.0,126.0,endpoint
24,1173.0,145.0,endpoint
25,528.0,1179.0,endpoint
26,765.0,771.0,endpoint
27,1249.0,631.0,endpoint
28,305.0,451.0,endpoint
29,732.0,786.0,endpoint
30,1238.0,637.0,endpoint
31,1487.0,841.0,endpoint
32,1413.0,452.0,endpoint
33,955.0,806.0,endpoint
34,461.0,69.0,endpoint
35,576.0,776.0,endpoint
36,760.0,768.0,endpoint
37,1129.0,1379.0,endpoint
38,1352.0,316.0,endpoint
39,560.0,654.0,endpoint
40,682.0,622.0,endpoint
41,10.0,812.0,endpoint
42,411.0,921.0,endpoint
43,1046.0,517.0,endpoint
44,288.0,485.0,endpoint
45,1074.0,929.0,endpoint
46,667.0,1399.0,endpoint
47,1429.0,1050.0,endpoint
48,858.0,1088.0,endpoint
49,732.0,1174.0,endpoint
50,750.0,777.0,endpoint
51,803.0,578.0,endpoint
52,1267.0,615.0,endpoint
53,557.0,467.0,endpoint
54,111.0,1128.0,endpoint
55,410.0,94.0,endpoint
56,712.0,1070.0,endpoint
57,871.0,1472.0,endpoint
58,757.0,92.0,endpoint
59,510.0,47.0,endpoint
60,67.0,496.0,endpoint
61,646.0,23.0,endpoint
62,707.0,795.0,endpoint
63,724.0,198.0,endpoint
64,170.0,789.0,endpoint
65,891.0,21.0,endpoint
66,482.0,841.0,endpoint
67,189.0,1232.0,endpoint
